Costumes,Description
Ursula,"Ursula is a fictional character who appears in Walt Disney Pictures' 28th animated feature film The Little Mermaid (1989). Voiced by American actress Pat Carroll, Ursula is a villainous sea witch who offers a mermaid princess named Ariel a temporary opportunity to become human so that she may earn the love of Prince Eric within three days. However, Ursula is, in fact, determined to sabotage Ariel's chances so that she can ultimately usurp King Triton's position as ruler of the oceans.

Created by directors and screenwriters Ron Clements and John Musker, Ursula is based on the sea witch character who appears in the 1837 fairy tale ""The Little Mermaid"" by Hans Christian Andersen. However, her minor role was greatly expanded into that of a much more prominent villain for the film. Disney had struggled to cast Ursula for a year, during which the role was well sought after by several coveted television actresses at the time. Clements and Musker disagreed with lyricist Howard Ashman about who should voice the character. While the directors had written the role with Bea Arthur in mind, Ashman intended to offer it to soap opera star Joan Collins; both actresses rejected the part. When Ashman cast his second choice, Broadway actress Elaine Stritch, as Ursula, both stage veterans disagreed about the manner in which Ursula's song ""Poor Unfortunate Souls"" would be performed, and Pat Carroll was finally hired to replace Stritch after Ashman fired her. Deepening her own voice for the role, Carroll based her performance on a combination of Shakespearean actresses and car salespeople.

Animated by Ruben A. Aquino, Ursula's original design was inspired by several different sea creatures, including manta rays and scorpion fish, before Clements finally decided to base the character on an octopus; her number of tentacles was reduced from eight to six for financial reasons. Ursula's appearance was also inspired by American actor and drag queen Divine. When The Little Mermaid was first released in 1989, Ursula was immediately embraced as one of Disney's best villains, and continues to be ranked highly among the studio's greatest by the media. Praised for being humorous and frightening, the character has garnered positive reviews from film critics, some of whom dubbed her Disney's strongest villain in decades. Meanwhile, Carroll's performance has garnered similar acclaim to the point that the role has eclipsed her previous body of work, ultimately becoming virtually synonymous with the character."
Scary Clown,"The evil clown is a subversion of the traditional comic clown character, in which the playful trope is instead depicted in a more disturbing nature through the use of horror elements and dark humor. The modern archetype of the evil clown was popularized by DC Comics character the Joker starting in 1940 and again by Pennywise in Stephen King's 1986 novel It. The character can be seen as playing on the sense of unease felt by sufferers of coulrophobia, the fear of clowns."
Mary Poppins,"A quintessential English nanny, Mary Poppins is a slightly stern but caring woman, who uses magic and self-control to take care of the Banks children.[1] She is usually identifiable by her sensible hat and parrot umbrella, which she brings with her wherever she goes on outings, she also has the power to teleport to a place she wants. She is kind towards the children, but can be firm when needed. She is ""practically perfect in every way"". In the film version, she is a young woman, with an air of grace and elegance about her.

Author P. L. Travers was very firm about Mary Poppins' appearance in the novel's illustrations, working closely with illustrator Mary Shepard to create an image of the character. Eventually they based Mary Poppins' appearance on that of a Dutch doll: tall and bony, with short black hair, large blue eyes, a snub nose, and a prim, pursed mouth. Travers originally objected to the casting of Julie Andrews as Mary Poppins, claiming that Andrews was too attractive for the role; however, upon meeting Andrews in person for the first time, Travers allegedly examined the actress for a few moments before conceding, ""Well, you've the nose for it.""[5]

Books
Main article: Mary Poppins (book series)

Mary Poppins as imagined by the illustrator of the book series, Mary Shepard, for the first volume
Mary Poppins in Travers' books is strict and no-nonsense, asserting her unusual brand of discipline over the four (later five) Banks children in her charge. Mary is very vain and is always admiring herself in the mirror and other reflections. She constantly lectures the children for their ""bad"" behaviour, especially when they point out the magical things she does, for she constantly denies she is anything but a prim and proper lady. Mary only shows her gentler side around her friends, among them the Matchman (Bert), Mrs. Corry, and Nellie-Rubina.

Mary has many relatives, each with their own supernatural or otherwise eccentric nature, at least one of whom appears in each book. She appears to be well known to every sort of magical entity (sorcerers, talking animals, etc.) that appear in the books, some of whom love her dearly and others who are quite terrified of her. Some characters, most notably an impudent jackdaw seen in the first two books, call her ""The Great Exception"", meaning, among other things, that she is the only human being who has retained the magical secrets infants possess (such as the power to communicate with animals) until they grow up and forget about them. Some of her adventures occur in London, others in strange realms, which later writers might identify as magical dimensions. In literary terms, she might be described as a character who exists in every conceivable fantasy genre (gothic, mythic, urban, etc.) at once: there are many strange people and phenomena in the world, but only Mary Poppins is familiar with them all. In the first book, Poppins arrives at Number Seventeen Cherry Tree Lane, London, home of the Banks family, with her travelling carpet bag, having been blown in by the east wind. She departs when she opens her umbrella, and the west wind carries her away. Mary Poppins is a fictional character and the eponymous protagonist of P. L. Travers's books of the same name along with all of their adaptations. A magical English nanny, she blows in on the east wind and arrives at the Banks home at Number 17 Cherry Tree Lane, London, where she is given charge of the Banks children and teaches them valuable lessons with a magical touch.[1] Travers gives Poppins the accent and vocabulary of a real London nanny: cockney base notes overlaid with a strangled gentility.[2]"
Katniss Everdeen,"Katniss Everdeen is a fictional character and the protagonist of The Hunger Games trilogy written by American author Suzanne Collins.[1] Her name comes from a plant with edible tubers called Sagittaria (katniss), from Sagittarius the Archer, whose name means He that throws arrows in Latin. She is portrayed by Jennifer Lawrence in the film adaptations The Hunger Games, The Hunger Games: Catching Fire, The Hunger Games: Mockingjay – Part 1, and The Hunger Games: Mockingjay – Part 2.

Katniss and her family come from District 12, a coal-mining district that is the poorest, least populated, and smallest district in the dystopian fictional autocratic nation of Panem, ruled by the Capitol. In the course of the first book, The Hunger Games, Katniss competes in the Hunger Games after she is allowed to volunteer in her little sister, Primrose ""Prim"" Everdeen's place. While in the arena, Katniss forms an alliance with Rue, the young female tribute from District 11, as she reminds Katniss of her sister. After Rue is killed by a career Tribute named Marvel, Katniss sings her a lullaby and covers her body in flowers. Later, District 11 shows solidarity with Katniss over Rue’s death and gifts her bread shaped like a moon and covered in seeds. Katniss then forms an alliance with her fellow District 12 tribute, Peeta, and grows close to him. The two eventually make it to the finale of the games, where they become the victors after defying the Capitol's attempt to force one to kill the other.

Throughout the next two novels, Catching Fire and Mockingjay, Katniss becomes a galvanizing symbol of rebellion against the oppressive Capitol. After said rebellion is victorious, Katniss chooses not to execute President Snow; she instead shoots Alma Coin, the corrupt leader of the thought-destroyed District 13, leaving President Snow’s cause of death ambiguous. She later begins a family with Peeta in the now peaceful Panem, reflecting that “there are much worse games to play.”

"
The Flintstones,"The show is set in a comical version of the Stone Age, but has added features and technologies that resemble mid-20th-century suburban America. The plots deliberately resemble the sitcoms of the era, with the caveman Flintstone and Rubble families getting into minor conflicts characteristic of modern life.[7] The show is set in the Stone Age town of Bedrock (pop. 2,500). Dinosaurs and other prehistoric creatures are portrayed as co-existing with cavemen, saber-toothed cats, and woolly mammoths.

Animation historian Christopher P. Lehman considers that the series draws its humor in part from creative uses of anachronisms. The main one is the placing of a ""modern"", 20th-century society in prehistory. This society takes inspiration from the suburban sprawl developed in the first two decades of the postwar period. This society has modern home appliances, but they work by employing animals.[8] They have automobiles, but they hardly resemble the cars of the 20th century. These cars are large wooden and rock structures and burn no fuel. They are powered by people who run while inside them. This depiction is inconsistent, however. On some occasions, the cars are known to have engines (with appropriate sound effects), requiring ignition keys and gasoline. Fred might pull into a gas station and say, ""Fill 'er up with Ethel"", which is pumped through the trunk of a woolly mammoth marked ""ETHEL"". Whether the car runs by foot or by gas varies according to the needs of the story. Finally, the stone houses of this society are cookie-cutter homes positioned into neighborhoods typical of mid-20th-century American suburbs.[9]"
Masquerade ball,"Masquerade balls were a feature of the Carnival season in the 15th century, and involved increasingly elaborate allegorical Royal Entries, pageants, and triumphal processions celebrating marriages and other dynastic events of late medieval court life. The ""Bal des Ardents"" (""Burning Men's Ball"") was held by Charles VI of France, and intended as a Bal des sauvages (""Wild Men's Ball""), a form of costumed ball (morisco). It took place in celebration of the marriage of a lady-in-waiting of Charles VI of France's queen in Paris on January 28, 1393. The King and five courtiers dressed as wildmen of the woods (woodwoses), with costumes of flax and pitch. If they came too close to a torch, the dancers would catch fire. (This episode may have influenced Edgar Allan Poe's short story ""Hop-Frog"".) Such costumed dances were a special luxury of the Ducal Court of Burgundy.

Masquerade balls were extended into costumed public festivities in Italy during the 16th century Renaissance (Italian maschera). They were generally elaborate dances held for members of the upper classes, and were particularly popular in Venice. They have been associated with the tradition of the Venetian Carnival. With the fall of the Venetian Republic at the end of the 18th century, the use and tradition of masks gradually began to decline, until they disappeared altogether.


Masquerade ball at Château de Hattonchâtel, France.
They became popular throughout mainland Europe in the 17th and 18th centuries, sometimes with fatal results. In 1792 Gustav III of Sweden was assassinated at a masquerade ball by the disgruntled nobleman Jacob Johan Anckarström, an event which Eugène Scribe and Daniel Auber turned into the opera Gustave III. The same event was the basis of Giuseppe Verdi's opera A Masked Ball, although the censors in the original production forced him to portray it as a fictional story set in Boston. Most masks came from countries like Switzerland and Italy.

A Swiss count who arrived in Italy in 1708, is credited with introducing to London the Venetian fashion of a semi-public masquerade ball, to which one might subscribe, with the first being held at Haymarket Opera House.[2] London's public gardens, like Vauxhall Gardens, refurbished in 1732, and Ranelagh Gardens, provided optimal outdoor settings, where characters masked and in fancy dress mingled with the crowds. The reputation for unseemly behavior, unescorted women and assignations motivated a change of name, to the Venetian ridotto, but as ""The Man of Taste"" observed in 1733:

In Lent, if masquerades displease the town,
Call 'em Ridottos and they still go down.

A standard item of masquerade dress was a ""Vandyke"", improvised on the costumes worn in the portraits of Van Dyck: Gainsborough's Blue Boy is the most familiar example, and a reminder of the later 18th-century popularity in England for portraits in fancy dress.

Throughout the century, masquerade dances became popular in Colonial America. Its prominence did not go unchallenged; a significant anti-masquerade movement grew alongside the balls themselves. The anti-masquerade writers (among them such notables as Samuel Richardson) held that the events encouraged immorality and ""foreign influence"". While they were sometimes able to persuade authorities to their views, particularly after the Lisbon earthquake of 1755, enforcement of measures designed to end masquerades was at best desultory, and the masquerades went on as semi-private ""subscriptions"".[3] In the 1770s, fashionable Londoners went to the masquerades organized by Teresa Cornelys at Carlisle House in Soho Square, and later to the Pantheon.

Masquerade balls were sometimes set as a game among the guests. The masked guests were supposedly dressed so as to be unidentifiable. This would create a type of game to see if a guest could determine each other's identities. This added a humorous effect to many masquerades and enabled a more enjoyable version of typical balls.

One of the most noted masquerade balls of the 20th century was that held at Palazzo Labia in Venice on 3 September 1951, hosted by Carlos de Beistegui. It was dubbed ""the party of the century"".[4]

Another famous ball was The Black and White Ball. It held on November 28, 1966 at the Plaza Hotel in New York City. Hosted by author Truman Capote, the ball was in honor of the Washington Post publisher Katharine Graham.[5]

Masks
Masquerade masks were worn delicately by the prosperous class at balls. Masquerade masks had many uses including hiding one's identity, and using different colour to express one's freedom of speech and voice one's emotions and opinions without judgement.[1] There were two types of base masquerade masks; black masks and white masks.[6] Designs and patterns were created over the base that was chosen. The main types of masks included masks with a stick (which one could hold to keep the mask in front of their face), the head mask, the full-face mask, and the half face mask.[6] Masquerade masks have been used in classics such as The Phantom of the Opera, Romeo and Juliet, Lone Ranger, and Gossip Girl. They are still used in many types of media today.[7] A masquerade ball (or bal masqué) is an event in which many participants attend in costume wearing a mask. (Compare the word ""masque""—a formal written and sung court pageant.) Less formal ""costume parties"" may be a descendant of this tradition. A masquerade ball usually encompasses music and dancing. These nighttime events are used for entertainment and celebrations.[1] "
Snow White,"""Snow White"" is a 19th-century German fairy tale that is today known widely across the Western world. The Brothers Grimm published it in 1812 in the first edition of their collection Grimms' Fairy Tales and numbered as Tale 53. The original German title was Sneewittchen, a Low German form, but the first version gave the High German translation Schneeweißchen, and the tale has become known in German by the mixed form Schneewittchen. The Grimms completed their final revision of the story in 1854.[1][2]

The fairy tale features such elements as the magic mirror, the poisoned apple, the glass coffin, and the characters of the Evil Queen and the Seven Dwarfs. The seven dwarfs were first given individual names in the 1912 Broadway play Snow White and the Seven Dwarfs and then given different names in Walt Disney's 1937 film Snow White and the Seven Dwarfs. The Grimm story, which is commonly referred to as ""Snow White"",[3] should not be confused with the story of ""Snow-White and Rose-Red"" (in German ""Schneeweißchen und Rosenrot""), another fairy tale collected by the Brothers Grimm.

In the Aarne–Thompson folklore classification, tales of this kind are grouped together as type 709, Snow White. Others of this kind include ""Bella Venezia"", ""Myrsina"", ""Nourie Hadig"", ""Gold-Tree and Silver-Tree"",[4] ""The Young Slave"", and ""La petite Toute-Belle"". At the beginning of the story, a queen sits sewing at an open window during a winter snowfall when she pricks her finger with her needle, causing three drops of red blood to drip onto the freshly fallen white snow on the black windowsill. Then, she says to herself, ""How I wish that I had a daughter that had skin as white as snow, lips as red as blood and hair as black as ebony."" Sometime later, the queen gives birth to a baby daughter whom she names Snow White, but the queen dies in childbirth.[1][5]

A year later, Snow White's father, the king, marries again. His new wife is very beautiful, but she is a vain and wicked woman who practices witchcraft. The new queen possesses a magic mirror, which she asks every morning, ""Magic mirror on the wall, who is the fairest one of all?"" The mirror always tells the queen that she is the fairest. The queen is always pleased with that response because the magic mirror never lies. But when Snow White is seven years old, her fairness surpasses that of her stepmother. When the queen asks her mirror, it tells her that Snow White is the fairest.[1][5]

This gives the queen a great shock. She becomes envious, and from that moment on, her heart turns against Snow White, whom the queen grows to hate increasingly with time. Eventually, the angry queen orders a huntsman to take Snow White into the forest to be killed. As proof that Snow White is dead, the queen demands that he returns with her heart, which she will consume in order to become immortal. The huntsman takes Snow White into the forest, but after raising his dagger, he finds himself unable to kill her when Snow White learns of her stepmother's evil plan and tearfully begs, ""Spare me this mockery of justice! I will run away into the forest and never come home again!"" After seeing the tears in the princess's eyes, the huntsman reluctantly agrees to spare Snow White and brings the queen the heart of an animal instead.[1][5]

After wandering through the forest for hours, Snow White discovers a tiny cottage belonging to a group of seven dwarfs. Since no one is at home, she eats some of the tiny meals, drinks some of their wine, and then tests all the beds. Finally, the last bed is comfortable enough for her, and she falls asleep. When the dwarfs return home, they immediately become aware that there has been a burglar in their house, because everything in their home is in disorder. Prowling about frantically, they head upstairs and discover the sleeping Snow White. She wakes up and explains to them about her stepmother's attempt to kill her, and the dwarfs take pity on her and let her stay with them in exchange for a job as a housemaid. They warn her to be careful when alone at home and to let no one in while they are working in the mountains.[1][5]

Ten years later, Snow White grows into an absolutely lovely, fair and beautiful young maiden. Meanwhile, the queen, who believes she had gotten rid of Snow White a decade earlier, asks her mirror once again: ""Magic mirror on the wall, who now is the fairest one of all?"" The mirror tells her that not only is Snow White still the fairest in the land, but she is also currently hiding with the dwarfs.[1] The queen is furious when she learns that Snow White used her wits to fake her death by tricking the huntsman, and decides to kill the girl herself. First, she appears at the dwarfs' cottage, disguised as an old peddler, and offers Snow White colorful, silky laced bodices as a present. The queen laces her up so tightly that Snow White faints or collapses; the dwarfs return just in time, and Snow White revives when the dwarfs loosen the laces.[1][5] Next, the queen dresses up as a comb seller and convinces Snow White to take a beautiful comb as a present; she strokes Snow White's hair with the poisoned comb. The girl is overcome by the poison from the comb, but she is again revived by the dwarfs when they remove the comb from her hair. Finally, the queen disguises herself as a farmer's wife and offers Snow White a poisoned apple. Snow White is hesitant to accept it, so the queen cuts the apple in half, eating the white (harmless) half and giving the red poisoned half to Snow White; the girl eagerly takes a bite and then falls into a coma or appearing to be dead, causing the Queen to think she has finally triumphed. This time, the dwarfs are unable to revive Snow White, and, assuming that the queen has finally killed her, they place her in a glass casket as a funeral for her.[1][5]

The next day, a prince stumbles upon a seemingly-dead Snow White lying in her glass coffin during a hunting trip. After hearing her story from the Seven Dwarfs, the prince is allowed to take Snow White to her proper resting place back at her father's castle. All of a sudden, while Snow White is being transported, one of the prince's servants trips and loses his balance. This dislodges the piece of the poisoned apple from Snow White's throat, magically reviving her.[6] The Prince is overjoyed with this miracle, and he declares his love for the now alive and well Snow White, who, surprised to meet him face to face, humbly accepts his marriage proposal. The prince invites everyone in the land to their wedding, except for Snow White's stepmother.

The queen, believing herself finally to be rid of Snow White after ten years, again asks her magic mirror who is the fairest in the land. The mirror says that there is a bride of a prince, who is yet fairer than she. The queen decides to visit the wedding and investigate. Once she arrives, the Queen becomes frozen with rage and fear when she finds out that the prince's bride is her stepdaughter, Snow White herself. The furious Queen tries to sow chaos and attempts to kill her again, but the prince recognizes her as a threat to Snow White when he learns the truth from his bride. As a punishment for the attempted murder of Snow White, the prince orders the Queen to wear a pair of red-hot iron slippers and to dance in them until she drops dead. With the evil Queen finally defeated and dead, Snow White has taken her revenge, so her wedding to the prince peacefully continues."
Butterfly,"Butterflies are insects in the macrolepidopteran clade Rhopalocera from the order Lepidoptera, which also includes moths. Adult butterflies have large, often brightly coloured wings, and conspicuous, fluttering flight. The group comprises the large superfamily Papilionoidea, which contains at least one former group, the skippers (formerly the superfamily ""Hesperioidea""), and the most recent analyses suggest it also contains the moth-butterflies (formerly the superfamily ""Hedyloidea""). Butterfly fossils date to the Paleocene, about 56 million years ago.

Butterflies have a four-stage life cycle, as like most insects they undergo complete metamorphosis. Winged adults lay eggs on the food plant on which their larvae, known as caterpillars, will feed. The caterpillars grow, sometimes very rapidly, and when fully developed, pupate in a chrysalis. When metamorphosis is complete, the pupal skin splits, the adult insect climbs out, and after its wings have expanded and dried, it flies off. Some butterflies, especially in the tropics, have several generations in a year, while others have a single generation, and a few in cold locations may take several years to pass through their entire life cycle.

Butterflies are often polymorphic, and many species make use of camouflage, mimicry and aposematism to evade their predators.[1] Some, like the monarch and the painted lady, migrate over long distances. Many butterflies are attacked by parasites or parasitoids, including wasps, protozoans, flies, and other invertebrates, or are preyed upon by other organisms. Some species are pests because in their larval stages they can damage domestic crops or trees; other species are agents of pollination of some plants. Larvae of a few butterflies (e.g., harvesters) eat harmful insects, and a few are predators of ants, while others live as mutualists in association with ants. Culturally, butterflies are a popular motif in the visual and literary arts. The Smithsonian Institution says ""butterflies are certainly one of the most appealing creatures in nature"".[2]"
Pebbles Flintstone,"Pebbles Flintstone (also known as Pebbles Flintstone-Rubble as an adult) is a fictional character in the Flintstones franchise. The red-haired daughter of Fred and Wilma Flintstone, Pebbles is born near the end of the third season. She is most famous in her infant form on The Flintstones, but has also appeared at various other ages, including as a teenager on the early 1970s spin-off The Pebbles and Bamm-Bamm Show and as an adult in three television films. She spent most of her time with Bamm-Bamm Rubble, her childhood best friend whom she eventually marries.[11]"
Chicken,"The chicken (Gallus gallus domesticus) is a domesticated subspecies of the red junglefowl originally from Southeastern Asia. Rooster or cock is a term for an adult male bird, and younger male may be called a cockerel. A male that has been castrated is a capon. An adult female bird is called a hen and a sexually immature female is called a pullet.

Originally raised for cockfighting or for special ceremonies, chickens were not kept for food until the Hellenistic period (4th–2nd centuries BC).[1][2] Humans now keep chickens primarily as a source of food (consuming both their meat and eggs) and as pets.

Chickens are one of the most common and widespread domestic animals, with a total population of 23.7 billion as of 2018,[3] up from more than 19 billion in 2011.[4] There are more chickens in the world than any other bird.[4] There are numerous cultural references to chickens – in myth, folklore and religion, and in language and literature.

Genetic studies have pointed to multiple maternal origins in South Asia, Southeast Asia, and East Asia,[5] but the clade found in the Americas, Europe, the Middle East and Africa originated from the Indian subcontinent. From ancient India, the chicken spread to Lydia in western Asia Minor, and to Greece by the 5th century BC.[6] Fowl have been known in Egypt since the mid-15th century BC, with the ""bird that gives birth every day"" having come from the land between Syria and Shinar, Babylonia, according to the annals of Thutmose III.[7][8][9]"
Deer,"Deer or true deer are hoofed ruminant mammals forming the family Cervidae. The two main groups of deer are the Cervinae, including the muntjac, the elk (wapiti), the red deer, and the fallow deer; and the Capreolinae, including the reindeer (caribou), white-tailed deer, the roe deer, and the moose. Male deer of all species (except the Chinese water deer) as well as female reindeer, grow and shed new antlers each year. In this they differ from permanently horned antelope, which are part of a different family (Bovidae) within the same order of even-toed ungulates (Artiodactyla).

The musk deer (Moschidae) of Asia and chevrotains (Tragulidae) of tropical African and Asian forests are separate families that are also in the ruminant clade Ruminantia; they are not especially closely related to Cervidae.

Deer appear in art from Paleolithic cave paintings onwards, and they have played a role in mythology, religion, and literature throughout history, as well as in heraldry, such as red deer that appear in the coat of arms of Åland.[2] Their economic importance includes the use of their meat as venison, their skins as soft, strong buckskin, and their antlers as handles for knives. Deer hunting has been a popular activity since at least the Middle Ages and remains a resource for many families today. Deer constitute the second most diverse family of artiodactyla after bovids.[8] Though of a similar build, deer are strongly distinguished from antelopes by their antlers, which are temporary and regularly regrown unlike the permanent horns of bovids.[9] Characteristics typical of deer include long, powerful legs, a diminutive tail and long ears.[10] Deer exhibit a broad variation in physical proportions. The largest extant deer is the moose, which is nearly 2.6 metres (8.5 ft) tall and weighs up to 800 kilograms (1,800 lb).[11][12] The elk stands 1.4–2 metres (4.6–6.6 ft) at the shoulder and weighs 240–450 kilograms (530–990 lb).[13] The northern pudu is the smallest deer in the world; it reaches merely 32–35 centimetres (13–14 in) at the shoulder and weighs 3.3–6 kilograms (7.3–13.2 lb). The southern pudu is only slightly taller and heavier.[14] Sexual dimorphism is quite pronounced – in most species males tend to be larger than females,[15] and, except for the reindeer, only males possess antlers.[16]

Coat colour generally varies between red and brown,[17] though it can be as dark as chocolate brown in the tufted deer[18] or have a grayish tinge as in elk.[13] Different species of brocket deer vary from gray to reddish brown in coat colour.[19] Several species such as the chital,[20] the fallow deer[21] and the sika deer[22] feature white spots on a brown coat. Coat of reindeer shows notable geographical variation.[23] Deer undergo two moults in a year;[17][24] for instance, in red deer the red, thin-haired summer coat is gradually replaced by the dense, greyish brown winter coat in autumn, which in turn gives way to the summer coat in the following spring.[25] Moulting is affected by the photoperiod.[26]

Deer are also excellent jumpers and swimmers. Deer are ruminants, or cud-chewers, and have a four-chambered stomach. Some deer, such as those on the island of Rùm,[27] do consume meat when it is available.[28]

File:Baby fawn's first steps.ogv
A fawn's first steps
Nearly all deer have a facial gland in front of each eye. The gland contains a strongly scented pheromone, used to mark its home range. Bucks of a wide range of species open these glands wide when angry or excited. All deer have a liver without a gallbladder. Deer also have a tapetum lucidum, which gives them sufficiently good night vision."
Evil Queen,"The Evil Queen, also called the Wicked Queen, is a fictional character and the main antagonist of ""Snow White"", a German fairy tale recorded by the Brothers Grimm; similar stories are also known to exist in other countries. Other versions of the Queen appear in ""Snow White"" derivative works, and the character has also become an archetype for unrelated works of fiction.

The Evil Queen is Snow White's evil and vindictive stepmother who is obsessed with being ""the fairest in the land"". The beautiful young princess Snow White evokes the Queen's sense of envy, so the Queen designs a number of plans to kill Snow White through the use of witchcraft. A driving force in the story is the Queen's Magic Mirror. In the traditional resolution of the story, the Queen is grotesquely executed for her crimes. The tale is meant as a lesson for young children warning them against the dangers of narcissism, pride, and hubris.

Various other versions of the Queen appear in subsequent adaptations and continuations of the fairy tale, including novels and films. In these, the Queen is often re-imagined and sometimes portrayed more sympathetically, such as being morally conflicted or suffering from madness instead of being simply evil. In some of the revisionist stories she has even been portrayed as an antihero or a tragic hero. In some instances, she serves as the protagonist of the story; one particularly notable version is Disney's depiction, sometimes known as Queen Grimhilde. The Queen has also become an archetype that inspired several characters featured in works not directly based on the original tale."
Physician,"A physician (American English), medical practitioner (Commonwealth English), medical doctor, or simply doctor, is a professional who practices medicine, which is concerned with promoting, maintaining or restoring health through the study, diagnosis, prognosis and treatment of disease, injury, and other physical and mental impairments. Physicians may focus their practice on certain disease categories, types of patients, and methods of treatment—known as specialities—or they may assume responsibility for the provision of continuing and comprehensive medical care to individuals, families, and communities—known as general practice.[2] Medical practice properly requires both a detailed knowledge of the academic disciplines, such as anatomy and physiology, underlying diseases and their treatment—the science of medicine—and also a decent competence in its applied practice—the art or craft of medicine.

Both the role of the physician and the meaning of the word itself vary around the world. Degrees and other qualifications vary widely, but there are some common elements, such as medical ethics requiring that physicians show consideration, compassion, and benevolence for their patients."
Mummy,"A mummy is a dead human or an animal whose soft tissues and organs have been preserved by either intentional or accidental exposure to chemicals, extreme cold, very low humidity, or lack of air, so that the recovered body does not decay further if kept in cool and dry conditions. Some authorities restrict the use of the term to bodies deliberately embalmed with chemicals, but the use of the word to cover accidentally desiccated bodies goes back to at least 1615 AD (see the section Etymology and meaning).

Mummies of humans and animals have been found on every continent,[1] both as a result of natural preservation through unusual conditions, and as cultural artifacts. Over one million animal mummies have been found in Egypt, many of which are cats.[2] Many of the Egyptian animal mummies are sacred ibis, and radiocarbon dating suggests the Egyptian Ibis mummies that have been analyzed were from time frame that falls between approximately 450 and 250 BC.[3]

In addition to the mummies of ancient Egypt, deliberate mummification was a feature of several ancient cultures in areas of America and Asia with very dry climates. The Spirit Cave mummies of Fallon, Nevada in North America were accurately dated at more than 9,400 years old. Before this discovery, the oldest known deliberate mummy was a child, one of the Chinchorro mummies found in the Camarones Valley, Chile, which dates around 5050 BC.[4] The oldest known naturally mummified human corpse is a severed head dated as 6,000 years old, found in 1936 AD at the site named Inca Cueva No. 4 in South America.[5]"
The Walking Dead,"The Walking Dead is a zombie apocalypse media franchise, including a comic book series, a television series, a web series, films, novels, video games, and various other media such as audio books and soundtracks. The original comic books were created by writer Robert Kirkman and artist Tony Moore, with Charlie Adlard joining shortly after its creation.

The TV show was adapted by Frank Darabont originally. He left due to conflicts with AMC. Actor Andrew Lincoln played the lead role of sheriff's deputy Rick Grimes for nine seasons."
Playboy Bunny,"A Playboy Bunny is a waitress at a Playboy Club. In the original Playboy Clubs that operated between 1960 and 1988,[1] the Playboy bunnies were selected through standardized training and wore a ""bunny suit"" costume inspired by the tuxedo-wearing Playboy rabbit mascot. This costume consisted of a strapless corset teddy, bunny ears, black sheer-to-waist pantyhose, a bow tie, a collar, cuffs and a fluffy cottontail. In more recent Playboy Clubs, such as Sin City that was re-opened in 2006, Playboy bunnies wore slightly redesigned costumes that were based on the original bunny suit.[1][2][3]"
Ladybug,"Coccinellidae (/ˌkɒksɪˈnɛlɪˌdiː/)[3] is a widespread family of small beetles ranging in size from 0.8 to 18 mm (0.03 to 0.71 in).[4] The family is commonly known as ladybugs in North America and ladybirds in Great Britain and other parts of the English-speaking world. Entomologists prefer the names ladybird beetles or lady beetles as these insects are not classified as true bugs.[5]

The majority of coccinellid species are generally considered beneficial insects, because many species prey on herbivorous hemipterans such as aphids or scale insects, which are agricultural pests. Many coccinellids lay their eggs directly in aphid and scale insect colonies in order to ensure their larvae have an immediate food source.[6] However, some species do have unwelcome effects; among these, the most prominent are of the subfamily Epilachninae (which includes the Mexican bean beetle), which are herbivorous themselves. Usually, epilachnines are only minor agricultural pests, eating the leaves of grain, potatoes, beans, and various other crops, but their numbers can increase exponentially in years when their natural enemies, such as parasitoid wasps that attack their eggs, are in fewer numbers. In such situations, they can do major crop damage. They occur in practically all the major crop-producing regions of temperate and tropical countries. Coccinellids are often conspicuously coloured yellow, orange, or red with small black spots on their wing covers, with black legs, heads and antennae. There is, however, great variation in these colour patterns. For example, a minority of species, such as Vibidia duodecimguttata, a twelve-spotted species, have whitish spots on a brown background. Coccinellids are found worldwide, with over 6,000 species described.[12][4]


Clitostethus arcuatus larva, pupa and adults
Most coccinellids have round to elliptical, dome-shaped bodies with six short legs. Depending on the species, they can have spots, stripes, or no markings at all. Seven-spotted coccinellids are red or orange with three spots on each side and one in the middle; they have a black head with white patches on each side.

As well as the usual yellow and deep red colourings, many coccinellid species are mostly, or entirely, black, dark grey, gray, or brown, and may be difficult for non-entomologists to recognise as coccinellids at all. Conversely, non-entomologists might easily mistake many other small beetles for coccinellids. For example, the tortoise beetles, like the ladybird beetles, look similar because they are shaped so that they can cling to a flat surface so closely that ants and many other enemies cannot grip them.[citation needed]

Non-entomologists are prone to misidentify a wide variety of beetle species in other families as ""ladybirds"", i.e. coccinellids. Beetles are particularly prone to such misidentification if they are spotted in red, orange or yellow and black. Examples include the much larger scarabaeid grapevine beetles and spotted species of the Chrysomelidae, Melyridae and others. Conversely, laymen may fail to identify unmarked species of Coccinellidae as ""ladybirds"". Other beetles that have a defensive hemispherical shape, like that of the Coccinellidae (for example the Cassidinae), also are often taken for ladybirds.[citation needed]

A common error, totally unfounded, is that the number of spots on the insect's back indicates its age.[13][14] In fact, the underlying pattern and colouration are determined by the species and genetics of the beetle, and develop as the insect matures. In some species its appearance is fixed by the time it emerges from its pupa, though in most it may take some days for the colour of the adult beetle to mature and stabilise. Generally, the mature colour tends to be fuller and darker than the colour of the callow.[citation needed]

Paraplectana tsushimensis is an Asian spider that mimics ladybirds."
